Order At;Order ID;Produk;Provinsi;Harga Produksi;Harga Satuan;Profit;Qty;Total Harga;Zero
05/06/2022;32;Sticker;Sumatera Selatan;5000;10000;5000;1;10000;0
01/01/2022;33;Buku Soal OMITS SMP;Kalimantan Selatan;35000;55000;40000;2;110000;0
30/04/2022;34;Pin;Papua Selatan;2500;5000;7500;3;15000;0
24/04/2022;35;Mug;Sumatera Barat;15000;20000;25000;5;100000;0
09/11/2022;36;T-Shirt;Papua Pegunungan;65000;75000;50000;5;375000;0
07/09/2022;37;T-Shirt;Kalimantan Selatan;65000;75000;50000;5;375000;0
12/08/2022;38;Mug;Bali;15000;20000;5000;1;20000;0
04/12/2022;39;Buku Soal OMITS SMA;Kalimantan Tengah;35000;60000;125000;5;300000;0
01/04/2022;40;Buku Soal OMITS SMP;Nusa Tenggara Barat;35000;55000;80000;4;220000;0
21/12/2022;41;Pin;Kalimantan Utara;2500;5000;2500;1;5000;0
07/09/2022;42;Sticker;Papua Barat;5000;10000;20000;4;40000;0
10/10/2022;43;Buku Soal OMITS SMP;Sulawesi Selatan;35000;55000;80000;4;220000;0
03/03/2022;44;Pin;Sumatera Selatan;2500;5000;10000;4;20000;0
23/10/2022;45;T-Shirt;Jambi;65000;75000;50000;5;375000;0
05/08/2022;46;Mug;Lampung;15000;20000;25000;5;100000;0
23/03/2022;47;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
14/12/2022;48;Buku Soal OMITS SMP;Papua Barat;35000;55000;80000;4;220000;0
11/06/2022;49;Sticker;Kalimantan Selatan;5000;10000;10000;2;20000;0
22/06/2022;50;T-Shirt;Papua;65000;75000;20000;2;150000;0
07/11/2022;51;Tumbler;Daerah Istimewa Yogyakarta;50000;60000;20000;2;120000;0
01/04/2022;52;Buku Soal OMITS SMA;Papua Pegunungan;35000;60000;25000;1;60000;0
01/03/2022;53;Buku Soal OMITS SD;Banten;35000;50000;75000;5;250000;0
24/06/2022;54;Buku Soal OMITS SMP;Papua Barat;35000;55000;40000;2;110000;0
08/09/2022;55;Pin;Papua Tengah;2500;5000;5000;2;10000;0
21/03/2022;56;Mug;DKI Jakarta;15000;20000;10000;2;40000;0
09/04/2022;57;Mug;Papua Barat Daya;15000;20000;10000;2;40000;0
09/09/2022;58;Pin;Riau;2500;5000;7500;3;15000;0
14/10/2022;59;Buku Soal OMITS SMA;Papua Barat Daya;35000;60000;50000;2;120000;0
26/10/2022;60;Mug;Papua Pegunungan;15000;20000;15000;3;60000;0
25/06/2022;61;Totebag;Kalimantan Timur;20000;25000;10000;2;50000;0
26/09/2022;62;Tumbler;Kalimantan Utara;50000;60000;20000;2;120000;0
13/09/2022;63;Sticker;Papua Tengah;5000;10000;5000;1;10000;0
27/02/2022;64;Pin;Jambi;2500;5000;12500;5;25000;0
30/07/2022;65;T-Shirt;Papua;65000;75000;30000;3;225000;0
11/02/2022;66;Sticker;Sulawesi Utara;5000;10000;25000;5;50000;0
04/03/2022;67;T-Shirt;Kalimantan Utara;65000;75000;40000;4;300000;0
10/06/2022;68;Pin;Sulawesi Tenggara;2500;5000;7500;3;15000;0
26/02/2022;69;Mug;Maluku Utara;15000;20000;15000;3;60000;0
20/01/2022;70;Gantungan Kunci;Daerah Istimewa Yogyakarta;5000;10000;10000;2;20000;0
03/01/2022;71;Buku Soal OMITS SD;Maluku Utara;35000;50000;60000;4;200000;0
28/08/2022;72;Mug;Sumatera Selatan;15000;20000;25000;5;100000;0
24/04/2022;73;Sticker;Kalimantan Timur;5000;10000;10000;2;20000;0
07/03/2022;74;Buku Soal OMITS SD;Gorontalo;35000;50000;75000;5;250000;0
14/06/2022;75;T-Shirt;Papua Barat;65000;75000;20000;2;150000;0
02/05/2022;76;Buku Soal OMITS SMA;Bangka Belitung;35000;60000;75000;3;180000;0
08/12/2022;77;Sticker;Sulawesi Tenggara;5000;10000;10000;2;20000;0
06/10/2022;78;Gantungan Kunci;Sumatera Utara;5000;10000;25000;5;50000;0
16/12/2022;79;Tumbler;Kalimantan Utara;50000;60000;10000;1;60000;0
14/11/2022;80;T-Shirt;Papua Selatan;65000;75000;10000;1;75000;0
25/10/2022;81;Totebag;Sumatera Utara;20000;25000;10000;2;50000;0
25/10/2022;82;Mug;Papua Pegunungan;15000;20000;10000;2;40000;0
02/11/2022;83;Sticker;Papua Barat Daya;5000;10000;15000;3;30000;0
13/02/2022;84;Totebag;Lampung;20000;25000;25000;5;125000;0
01/01/2022;85;Pin;Papua;2500;5000;12500;5;25000;0
30/01/2022;86;Pin;Sulawesi Selatan;2500;5000;5000;2;10000;0
23/07/2022;87;Gantungan Kunci;Nusa Tenggara Timur;5000;10000;25000;5;50000;0
18/08/2022;88;Sticker;Kalimantan Barat;5000;10000;25000;5;50000;0
19/01/2022;89;Gantungan Kunci;Bengkulu;5000;10000;20000;4;40000;0
13/06/2022;90;Buku Soal OMITS SD;Maluku Utara;35000;50000;60000;4;200000;0
11/09/2022;91;Mug;Lampung;15000;20000;15000;3;60000;0
20/10/2022;92;Gantungan Kunci;Sumatera Utara;5000;10000;20000;4;40000;0
10/09/2022;93;T-Shirt;Papua Barat Daya;65000;75000;50000;5;375000;0
04/11/2022;94;Totebag;Jawa Tengah;20000;25000;10000;2;50000;0
24/02/2022;95;Buku Soal OMITS SMP;Kalimantan Tengah;35000;55000;100000;5;275000;0
04/02/2022;96;Buku Soal OMITS SMP;Papua Barat Daya;35000;55000;100000;5;275000;0
22/01/2022;97;Buku Soal OMITS SMP;Jambi;35000;55000;40000;2;110000;0
30/11/2022;98;Buku Soal OMITS SD;Sumatera Utara;35000;50000;15000;1;50000;0
23/05/2022;99;Pin;Maluku;2500;5000;10000;4;20000;0
23/04/2022;100;Sticker;Jawa Barat;5000;10000;10000;2;20000;0
12/08/2022;101;Mug;Bengkulu;15000;20000;5000;1;20000;0
10/07/2022;102;Gantungan Kunci;Jawa Timur;5000;10000;20000;4;40000;0
07/03/2022;103;Sticker;Papua Tengah;5000;10000;25000;5;50000;0
21/02/2022;104;Sticker;Sulawesi Barat;5000;10000;15000;3;30000;0
09/02/2022;105;Buku Soal OMITS SMP;Bangka Belitung;35000;55000;80000;4;220000;0
27/12/2022;106;Sticker;Jawa Timur;5000;10000;5000;1;10000;0
21/10/2022;107;Buku Soal OMITS SMA;Kalimantan Selatan;35000;60000;50000;2;120000;0
10/03/2022;108;Sticker;Nanggroe Aceh Darussalam;5000;10000;20000;4;40000;0
23/02/2022;109;Pin;Papua Pegunungan;2500;5000;10000;4;20000;0
16/11/2022;110;Gantungan Kunci;Kalimantan Barat;5000;10000;15000;3;30000;0
18/01/2022;111;Gantungan Kunci;Kepulauan Riau;5000;10000;15000;3;30000;0
14/03/2022;112;Buku Soal OMITS SMP;Sumatera Utara;35000;55000;40000;2;110000;0
29/09/2022;113;Buku Soal OMITS SMA;Kalimantan Utara;35000;60000;75000;3;180000;0
22/04/2022;114;Buku Soal OMITS SD;Maluku Utara;35000;50000;45000;3;150000;0
04/02/2022;115;Sticker;Banten;5000;10000;25000;5;50000;0
12/08/2022;116;Sticker;Sulawesi Tengah;5000;10000;15000;3;30000;0
04/07/2022;117;Buku Soal OMITS SMA;Kalimantan Barat;35000;60000;25000;1;60000;0
07/12/2022;118;Tumbler;Papua Selatan;50000;60000;40000;4;240000;0
22/02/2022;119;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
22/05/2022;120;Pin;Nusa Tenggara Timur;2500;5000;7500;3;15000;0
16/10/2022;121;Buku Soal OMITS SD;Nanggroe Aceh Darussalam;35000;50000;30000;2;100000;0
20/12/2022;122;Pin;Riau;2500;5000;5000;2;10000;0
19/12/2022;123;Pin;Kalimantan Timur;2500;5000;10000;4;20000;0
19/09/2022;124;Tumbler;Jawa Tengah;50000;60000;40000;4;240000;0
06/12/2022;125;T-Shirt;Sulawesi Barat;65000;75000;20000;2;150000;0
21/12/2022;126;T-Shirt;Nusa Tenggara Timur;65000;75000;10000;1;75000;0
25/05/2022;127;Buku Soal OMITS SMA;Sulawesi Tengah;35000;60000;100000;4;240000;0
21/10/2022;128;Totebag;Gorontalo;20000;25000;20000;4;100000;0
17/09/2022;129;Buku Soal OMITS SD;Riau;35000;50000;30000;2;100000;0
13/11/2022;130;Totebag;Sumatera Barat;20000;25000;10000;2;50000;0
09/07/2022;131;T-Shirt;Sulawesi Tengah;65000;75000;30000;3;225000;0
08/03/2022;132;Totebag;Sumatera Utara;20000;25000;25000;5;125000;0
31/08/2022;133;Totebag;Bali;20000;25000;5000;1;25000;0
09/12/2022;134;Gantungan Kunci;Nanggroe Aceh Darussalam;5000;10000;20000;4;40000;0
11/10/2022;135;Gantungan Kunci;Kalimantan Selatan;5000;10000;25000;5;50000;0
21/10/2022;136;Gantungan Kunci;Jambi;5000;10000;25000;5;50000;0
01/09/2022;137;Gantungan Kunci;Bali;5000;10000;25000;5;50000;0
11/03/2022;138;Pin;Jawa Tengah;2500;5000;10000;4;20000;0
15/05/2022;139;Sticker;Bali;5000;10000;10000;2;20000;0
16/02/2022;140;Tumbler;Kalimantan Utara;50000;60000;40000;4;240000;0
13/05/2022;141;Totebag;Papua;20000;25000;10000;2;50000;0
29/11/2022;142;Tumbler;Sumatera Barat;50000;60000;30000;3;180000;0
28/08/2022;143;Tumbler;Sulawesi Tenggara;50000;60000;20000;2;120000;0
16/12/2022;144;T-Shirt;Papua Selatan;65000;75000;40000;4;300000;0
04/02/2022;145;Buku Soal OMITS SMA;Jawa Timur;35000;60000;125000;5;300000;0
29/09/2022;146;Buku Soal OMITS SMA;Jambi;35000;60000;75000;3;180000;0
07/07/2022;147;Sticker;Sulawesi Tenggara;5000;10000;15000;3;30000;0
17/12/2022;148;Pin;Banten;2500;5000;5000;2;10000;0
10/12/2022;149;Pin;Jawa Barat;2500;5000;10000;4;20000;0
15/05/2022;150;Sticker;Jambi;5000;10000;10000;2;20000;0
21/12/2022;151;Mug;Papua Tengah;15000;20000;15000;3;60000;0
06/02/2022;152;Sticker;Papua Barat;5000;10000;15000;3;30000;0
29/07/2022;153;Tumbler;Jawa Barat;50000;60000;40000;4;240000;0
04/12/2022;154;Buku Soal OMITS SMP;Kalimantan Tengah;35000;55000;80000;4;220000;0
08/12/2022;155;Buku Soal OMITS SMP;Sulawesi Barat;35000;55000;80000;4;220000;0
03/10/2022;156;T-Shirt;Papua Selatan;65000;75000;20000;2;150000;0
11/08/2022;157;Buku Soal OMITS SD;Sumatera Barat;35000;50000;60000;4;200000;0
08/05/2022;158;Buku Soal OMITS SD;Bengkulu;35000;50000;60000;4;200000;0
04/10/2022;159;Sticker;Papua Tengah;5000;10000;20000;4;40000;0
19/02/2022;160;Buku Soal OMITS SMA;Sulawesi Utara;35000;60000;25000;1;60000;0
07/06/2022;161;Totebag;Jawa Timur;20000;25000;15000;3;75000;0
15/04/2022;162;Mug;Papua;15000;20000;5000;1;20000;0
05/07/2022;163;Totebag;DKI Jakarta;20000;25000;10000;2;50000;0
15/08/2022;164;Buku Soal OMITS SMA;Papua;35000;60000;100000;4;240000;0
20/04/2022;165;T-Shirt;Sumatera Selatan;65000;75000;50000;5;375000;0
26/11/2022;166;Buku Soal OMITS SMP;Papua Pegunungan;35000;55000;60000;3;165000;0
16/01/2022;167;Gantungan Kunci;Kalimantan Utara;5000;10000;20000;4;40000;0
18/07/2022;168;Totebag;Bali;20000;25000;25000;5;125000;0
31/01/2022;169;Totebag;Papua Tengah;20000;25000;20000;4;100000;0
25/08/2022;170;Totebag;Jawa Barat;20000;25000;15000;3;75000;0
20/05/2022;171;Buku Soal OMITS SMA;Papua Barat;35000;60000;50000;2;120000;0
25/10/2022;172;T-Shirt;Jawa Tengah;65000;75000;30000;3;225000;0
14/07/2022;173;Totebag;Nusa Tenggara Timur;20000;25000;10000;2;50000;0
07/03/2022;174;T-Shirt;Papua Selatan;65000;75000;40000;4;300000;0
26/03/2022;175;Buku Soal OMITS SMP;Jawa Tengah;35000;55000;60000;3;165000;0
17/03/2022;176;Totebag;Daerah Istimewa Yogyakarta;20000;25000;5000;1;25000;0
20/05/2022;177;Mug;Jawa Barat;15000;20000;10000;2;40000;0
14/07/2022;178;Gantungan Kunci;Banten;5000;10000;15000;3;30000;0
17/07/2022;179;Gantungan Kunci;Jawa Tengah;5000;10000;15000;3;30000;0
21/06/2022;180;Buku Soal OMITS SD;Nanggroe Aceh Darussalam;35000;50000;45000;3;150000;0
24/07/2022;181;Mug;Jawa Timur;15000;20000;25000;5;100000;0
14/09/2022;182;Buku Soal OMITS SMP;Sulawesi Selatan;35000;55000;80000;4;220000;0
27/06/2022;183;Mug;Jawa Tengah;15000;20000;25000;5;100000;0
02/07/2022;184;T-Shirt;Sumatera Utara;65000;75000;50000;5;375000;0
19/06/2022;185;Buku Soal OMITS SD;Nusa Tenggara Timur;35000;50000;75000;5;250000;0
04/07/2022;186;Gantungan Kunci;Sulawesi Tenggara;5000;10000;20000;4;40000;0
26/02/2022;187;Tumbler;Jawa Barat;50000;60000;20000;2;120000;0
11/04/2022;188;Sticker;Kalimantan Tengah;5000;10000;5000;1;10000;0
02/04/2022;189;Mug;Lampung;15000;20000;25000;5;100000;0
02/11/2022;190;Pin;Papua;2500;5000;5000;2;10000;0
16/09/2022;191;Mug;Maluku;15000;20000;5000;1;20000;0
11/05/2022;192;Mug;Sulawesi Tenggara;15000;20000;25000;5;100000;0
08/11/2022;193;Gantungan Kunci;Maluku Utara;5000;10000;15000;3;30000;0
01/08/2022;194;Sticker;Bali;5000;10000;25000;5;50000;0
20/02/2022;195;Tumbler;Kalimantan Selatan;50000;60000;50000;5;300000;0
08/06/2022;196;Buku Soal OMITS SMP;Sumatera Selatan;35000;55000;20000;1;55000;0
14/05/2022;197;Mug;Jambi;15000;20000;20000;4;80000;0
03/09/2022;198;Tumbler;Maluku Utara;50000;60000;10000;1;60000;0
10/09/2022;199;Totebag;Kepulauan Riau;20000;25000;10000;2;50000;0
19/06/2022;200;Buku Soal OMITS SD;Papua Barat Daya;35000;50000;15000;1;50000;0
08/08/2022;201;Gantungan Kunci;Sulawesi Tengah;5000;10000;5000;1;10000;0
12/11/2022;202;Gantungan Kunci;Kepulauan Riau;5000;10000;25000;5;50000;0
16/06/2022;203;Buku Soal OMITS SMP;Riau;35000;55000;40000;2;110000;0
15/04/2022;204;T-Shirt;Papua Barat Daya;65000;75000;40000;4;300000;0
09/02/2022;205;Buku Soal OMITS SD;Nusa Tenggara Barat;35000;50000;15000;1;50000;0
13/02/2022;206;Mug;Jambi;15000;20000;25000;5;100000;0
11/11/2022;207;Buku Soal OMITS SMP;Jawa Timur;35000;55000;100000;5;275000;0
16/02/2022;208;Totebag;Sumatera Selatan;20000;25000;15000;3;75000;0
23/01/2022;209;Tumbler;Papua Selatan;50000;60000;10000;1;60000;0
28/05/2022;210;Gantungan Kunci;Kalimantan Utara;5000;10000;25000;5;50000;0
30/04/2022;211;Mug;Nusa Tenggara Barat;15000;20000;20000;4;80000;0
22/07/2022;212;Totebag;Papua Barat;20000;25000;20000;4;100000;0
16/06/2022;213;Gantungan Kunci;Kalimantan Barat;5000;10000;10000;2;20000;0
21/10/2022;214;Buku Soal OMITS SMA;Sumatera Barat;35000;60000;50000;2;120000;0
23/07/2022;215;Buku Soal OMITS SMP;Nusa Tenggara Timur;35000;55000;20000;1;55000;0
31/05/2022;216;Mug;Jawa Tengah;15000;20000;15000;3;60000;0
04/09/2022;217;Gantungan Kunci;Sumatera Selatan;5000;10000;20000;4;40000;0
12/06/2022;218;Mug;Sumatera Utara;15000;20000;10000;2;40000;0
28/08/2022;219;Gantungan Kunci;Kalimantan Barat;5000;10000;5000;1;10000;0
26/11/2022;220;T-Shirt;Maluku Utara;65000;75000;50000;5;375000;0
11/09/2022;221;Sticker;Papua Barat;5000;10000;25000;5;50000;0
09/08/2022;222;Buku Soal OMITS SMA;Riau;35000;60000;50000;2;120000;0
27/03/2022;223;Sticker;Sumatera Utara;5000;10000;5000;1;10000;0
11/03/2022;224;Buku Soal OMITS SMA;Papua Barat;35000;60000;50000;2;120000;0
19/01/2022;225;Gantungan Kunci;Gorontalo;5000;10000;20000;4;40000;0
14/05/2022;226;Gantungan Kunci;Bangka Belitung;5000;10000;20000;4;40000;0
22/06/2022;227;Buku Soal OMITS SD;Kalimantan Barat;35000;50000;45000;3;150000;0
17/03/2022;228;Buku Soal OMITS SD;Papua;35000;50000;60000;4;200000;0
05/03/2022;229;Mug;Kepulauan Riau;15000;20000;20000;4;80000;0
04/02/2022;230;Gantungan Kunci;Jawa Tengah;5000;10000;5000;1;10000;0
22/04/2022;231;T-Shirt;Sulawesi Tengah;65000;75000;30000;3;225000;0
01/04/2022;232;Mug;Maluku Utara;15000;20000;5000;1;20000;0
12/11/2022;233;T-Shirt;Sulawesi Barat;65000;75000;50000;5;375000;0
18/06/2022;234;Pin;Nusa Tenggara Timur;2500;5000;7500;3;15000;0
24/10/2022;235;Pin;DKI Jakarta;2500;5000;10000;4;20000;0
19/02/2022;236;Buku Soal OMITS SMA;Kalimantan Utara;35000;60000;50000;2;120000;0
17/11/2022;237;Pin;Sumatera Selatan;2500;5000;12500;5;25000;0
01/01/2022;238;Gantungan Kunci;Kalimantan Selatan;5000;10000;10000;2;20000;0
25/12/2022;239;Gantungan Kunci;Maluku Utara;5000;10000;15000;3;30000;0
07/11/2022;240;Totebag;Sumatera Selatan;20000;25000;25000;5;125000;0
01/09/2022;241;Gantungan Kunci;Papua;5000;10000;25000;5;50000;0
10/12/2022;242;Buku Soal OMITS SD;Sumatera Selatan;35000;50000;45000;3;150000;0
30/05/2022;243;Tumbler;Papua Barat;50000;60000;10000;1;60000;0
26/04/2022;244;Buku Soal OMITS SD;Sumatera Barat;35000;50000;45000;3;150000;0
25/11/2022;245;Buku Soal OMITS SD;Papua Barat;35000;50000;75000;5;250000;0
07/03/2022;246;Gantungan Kunci;Sumatera Selatan;5000;10000;5000;1;10000;0
03/05/2022;247;T-Shirt;Banten;65000;75000;50000;5;375000;0
22/03/2022;248;Buku Soal OMITS SMP;Jawa Timur;35000;55000;100000;5;275000;0
03/05/2022;249;Buku Soal OMITS SD;Gorontalo;35000;50000;30000;2;100000;0
16/04/2022;250;Buku Soal OMITS SD;DKI Jakarta;35000;50000;15000;1;50000;0
09/05/2022;251;Sticker;Sumatera Utara;5000;10000;25000;5;50000;0
06/06/2022;252;Buku Soal OMITS SMP;Papua Barat Daya;35000;55000;100000;5;275000;0
02/11/2022;253;Tumbler;Banten;50000;60000;50000;5;300000;0
31/10/2022;254;T-Shirt;Daerah Istimewa Yogyakarta;65000;75000;50000;5;375000;0
21/04/2022;255;Pin;Papua Selatan;2500;5000;2500;1;5000;0
22/01/2022;256;Buku Soal OMITS SD;Nusa Tenggara Timur;35000;50000;75000;5;250000;0
20/12/2022;257;Buku Soal OMITS SD;Kalimantan Utara;35000;50000;60000;4;200000;0
25/08/2022;258;Gantungan Kunci;DKI Jakarta;5000;10000;25000;5;50000;0
18/08/2022;259;Buku Soal OMITS SMP;Papua;35000;55000;100000;5;275000;0
24/04/2022;260;Gantungan Kunci;Jawa Tengah;5000;10000;20000;4;40000;0
11/11/2022;261;Buku Soal OMITS SD;Jambi;35000;50000;30000;2;100000;0
14/04/2022;262;Gantungan Kunci;Papua Barat;5000;10000;10000;2;20000;0
25/06/2022;263;Totebag;Kalimantan Tengah;20000;25000;15000;3;75000;0
17/06/2022;264;Totebag;Kalimantan Utara;20000;25000;15000;3;75000;0
23/12/2022;265;Tumbler;Jambi;50000;60000;10000;1;60000;0
07/10/2022;266;Buku Soal OMITS SD;DKI Jakarta;35000;50000;45000;3;150000;0
05/06/2022;267;Buku Soal OMITS SMA;Papua Barat;35000;60000;50000;2;120000;0
29/12/2022;268;Pin;Jambi;2500;5000;2500;1;5000;0
19/06/2022;269;Buku Soal OMITS SMP;Sumatera Selatan;35000;55000;40000;2;110000;0
27/08/2022;270;Buku Soal OMITS SMA;Sumatera Selatan;35000;60000;50000;2;120000;0
15/06/2022;271;T-Shirt;Sulawesi Barat;65000;75000;10000;1;75000;0
17/11/2022;272;Mug;Sulawesi Tenggara;15000;20000;10000;2;40000;0
14/01/2022;273;Pin;Sulawesi Tenggara;2500;5000;12500;5;25000;0
05/06/2022;274;Tumbler;Sulawesi Tengah;50000;60000;50000;5;300000;0
14/04/2022;275;Totebag;Kalimantan Utara;20000;25000;5000;1;25000;0
26/11/2022;276;Buku Soal OMITS SD;Nusa Tenggara Barat;35000;50000;75000;5;250000;0
11/01/2022;277;Totebag;Sulawesi Utara;20000;25000;10000;2;50000;0
23/02/2022;278;Tumbler;Bangka Belitung;50000;60000;10000;1;60000;0
19/01/2022;279;Sticker;Jambi;5000;10000;20000;4;40000;0
26/12/2022;280;Sticker;Kalimantan Barat;5000;10000;10000;2;20000;0
11/04/2022;281;Tumbler;Nusa Tenggara Barat;50000;60000;40000;4;240000;0
21/10/2022;282;Tumbler;Sumatera Utara;50000;60000;10000;1;60000;0
02/10/2022;283;Pin;Jawa Timur;2500;5000;12500;5;25000;0
02/07/2022;284;Buku Soal OMITS SMA;Kalimantan Utara;35000;60000;25000;1;60000;0
20/12/2022;285;Pin;Nanggroe Aceh Darussalam;2500;5000;10000;4;20000;0
22/03/2022;286;T-Shirt;Nusa Tenggara Barat;65000;75000;50000;5;375000;0
25/09/2022;287;Sticker;Sumatera Barat;5000;10000;20000;4;40000;0
29/06/2022;288;Tumbler;Jambi;50000;60000;10000;1;60000;0
07/02/2022;289;Buku Soal OMITS SMA;Papua Tengah;35000;60000;125000;5;300000;0
16/03/2022;290;Totebag;Sulawesi Tenggara;20000;25000;20000;4;100000;0
21/08/2022;291;Gantungan Kunci;Bangka Belitung;5000;10000;15000;3;30000;0
30/06/2022;292;Buku Soal OMITS SMA;Papua Selatan;35000;60000;125000;5;300000;0
22/11/2022;293;Buku Soal OMITS SD;Nanggroe Aceh Darussalam;35000;50000;75000;5;250000;0
09/12/2022;294;Pin;Bengkulu;2500;5000;7500;3;15000;0
25/05/2022;295;Tumbler;Kepulauan Riau;50000;60000;10000;1;60000;0
13/06/2022;296;Pin;Papua Pegunungan;2500;5000;10000;4;20000;0
18/01/2022;297;Pin;Papua Pegunungan;2500;5000;2500;1;5000;0
12/05/2022;298;Gantungan Kunci;Jawa Barat;5000;10000;15000;3;30000;0
12/10/2022;299;T-Shirt;Nusa Tenggara Timur;65000;75000;40000;4;300000;0
09/06/2022;300;Tumbler;Bali;50000;60000;10000;1;60000;0
13/05/2022;301;Sticker;Papua Barat Daya;5000;10000;20000;4;40000;0
04/11/2022;302;Gantungan Kunci;Bali;5000;10000;25000;5;50000;0
07/08/2022;303;Totebag;Kepulauan Riau;20000;25000;20000;4;100000;0
15/03/2022;304;T-Shirt;Nanggroe Aceh Darussalam;65000;75000;30000;3;225000;0
23/02/2022;305;Mug;Sulawesi Tenggara;15000;20000;25000;5;100000;0
07/02/2022;306;Mug;Nusa Tenggara Barat;15000;20000;15000;3;60000;0
23/02/2022;307;Tumbler;DKI Jakarta;50000;60000;40000;4;240000;0
31/07/2022;308;Mug;Bengkulu;15000;20000;15000;3;60000;0
24/04/2022;309;Buku Soal OMITS SD;Bengkulu;35000;50000;75000;5;250000;0
05/11/2022;310;Mug;Nusa Tenggara Barat;15000;20000;25000;5;100000;0
19/02/2022;311;Buku Soal OMITS SMP;Kalimantan Selatan;35000;55000;100000;5;275000;0
02/01/2022;312;Pin;Sulawesi Tenggara;2500;5000;7500;3;15000;0
13/04/2022;313;Pin;Maluku;2500;5000;7500;3;15000;0
23/07/2022;314;Gantungan Kunci;Papua Barat;5000;10000;20000;4;40000;0
30/07/2022;315;Tumbler;Riau;50000;60000;20000;2;120000;0
25/08/2022;316;Tumbler;Papua Barat;50000;60000;20000;2;120000;0
17/06/2022;317;Sticker;Banten;5000;10000;10000;2;20000;0
10/06/2022;318;Mug;Sumatera Barat;15000;20000;10000;2;40000;0
06/12/2022;319;Tumbler;Daerah Istimewa Yogyakarta;50000;60000;40000;4;240000;0
05/06/2022;320;T-Shirt;Nusa Tenggara Barat;65000;75000;50000;5;375000;0
27/03/2022;321;Gantungan Kunci;Papua Tengah;5000;10000;20000;4;40000;0
12/05/2022;322;Buku Soal OMITS SMA;Kalimantan Selatan;35000;60000;25000;1;60000;0
07/04/2022;323;Pin;Sumatera Utara;2500;5000;12500;5;25000;0
24/05/2022;324;Totebag;Papua Pegunungan;20000;25000;15000;3;75000;0
07/05/2022;325;Totebag;Papua Pegunungan;20000;25000;25000;5;125000;0
25/12/2022;326;Mug;Jawa Timur;15000;20000;15000;3;60000;0
29/08/2022;327;Sticker;Nanggroe Aceh Darussalam;5000;10000;15000;3;30000;0
07/10/2022;328;Buku Soal OMITS SD;Sulawesi Barat;35000;50000;15000;1;50000;0
24/07/2022;329;Mug;Sulawesi Barat;15000;20000;25000;5;100000;0
29/03/2022;330;Tumbler;Sulawesi Tengah;50000;60000;30000;3;180000;0
16/10/2022;331;Pin;Kalimantan Utara;2500;5000;2500;1;5000;0
